,img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,true_label
3948,img_14313.jpg,0.06,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.89,0.01,0
3925,img_14492.jpg,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0
7330,img_14552.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0
31,img_14621.jpg,0.06,0.01,0.01,0.01,0.01,0.11,0.01,0.02,0.74,0.07,0
3930,img_1487.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.02,0
4691,img_14870.jpg,0.01,0.01,0.01,0.36,0.01,0.01,0.06,0.02,0.54,0.01,0
2157,img_14903.jpg,0.10,0.14,0.01,0.01,0.01,0.01,0.01,0.25,0.09,0.41,0
6487,img_14979.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0
3960,img_15073.jpg,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,0
64,img_15197.jpg,0.19,0.01,0.01,0.01,0.01,0.20,0.01,0.02,0.53,0.06,0
940,img_15310.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,0
997,img_15463.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.95,0
2208,img_15760.jpg,0.28,0.62,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0
2182,img_16345.jpg,0.09,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.79,0
2177,img_16355.jpg,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0
3972,img_16486.jpg,0.15,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0
971,img_16568.jpg,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.78,0
6468,img_16575.jpg,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.54,0
7273,img_16714.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0
4671,img_17066.jpg,0.01,0.01,0.05,0.02,0.01,0.01,0.21,0.01,0.22,0.49,0
6464,img_17515.jpg,0.07,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.78,0
915,img_17538.jpg,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0
979,img_17862.jpg,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.77,0
4686,img_18225.jpg,0.02,0.01,0.04,0.30,0.07,0.01,0.03,0.24,0.03,0.28,0
3953,img_18738.jpg,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.06,0.59,0
5712,img_18847.jpg,0.19,0.01,0.51,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0
3357,img_1929.jpg,0.01,0.01,0.01,0.01,0.03,0.50,0.01,0.13,0.32,0.01,0
6475,img_19386.jpg,0.02,0.16,0.01,0.01,0.01,0.57,0.01,0.01,0.14,0.10,0
4665,img_19691.jpg,0.01,0.01,0.77,0.01,0.01,0.01,0.04,0.01,0.05,0.11,0
5753,img_19849.jpg,0.22,0.01,0.32,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0
2150,img_20192.jpg,0.43,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
990,img_20498.jpg,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0
7271,img_2076.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0
5744,img_20847.jpg,0.10,0.01,0.26,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0
2180,img_2093.jpg,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.67,0
5710,img_21059.jpg,0.23,0.01,0.16,0.02,0.01,0.01,0.01,0.01,0.59,0.01,0
7310,img_21699.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
4690,img_21733.jpg,0.01,0.01,0.02,0.07,0.02,0.01,0.40,0.04,0.45,0.01,0
6482,img_21767.jpg,0.01,0.01,0.02,0.27,0.02,0.03,0.01,0.01,0.58,0.08,0
4660,img_21782.jpg,0.07,0.01,0.12,0.01,0.69,0.01,0.10,0.01,0.01,0.01,0
4652,img_2191.jpg,0.15,0.01,0.07,0.01,0.23,0.01,0.01,0.01,0.03,0.52,0
2125,img_22029.jpg,0.06,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
7277,img_22143.jpg,0.04,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.69,0
4701,img_22750.jpg,0.01,0.01,0.01,0.01,0.20,0.01,0.01,0.01,0.01,0.79,0
5735,img_22984.jpg,0.33,0.01,0.59,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0
7246,img_23142.jpg,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.03,0.98,0
6463,img_23158.jpg,0.10,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.86,0
7286,img_23298.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
976,img_2334.jpg,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.61,0
919,img_23631.jpg,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
6501,img_2380.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0
4632,img_24139.jpg,0.01,0.01,0.02,0.03,0.15,0.01,0.56,0.01,0.21,0.03,0
2190,img_24232.jpg,0.03,0.96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
989,img_24382.jpg,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0
4644,img_24403.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0
926,img_24471.jpg,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0
4646,img_24493.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0
881,img_24692.jpg,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.10,0
2135,img_24706.jpg,0.30,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.60,0
2186,img_25298.jpg,0.28,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0
5711,img_25599.jpg,0.16,0.01,0.13,0.25,0.01,0.01,0.22,0.01,0.22,0.01,0
6447,img_26370.jpg,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.96,0
5745,img_2653.jpg,0.11,0.01,0.71,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0
5737,img_26802.jpg,0.22,0.01,0.71,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0
2138,img_27005.jpg,0.10,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.42,0.07,0
5668,img_27110.jpg,0.30,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
4626,img_27134.jpg,0.01,0.01,0.01,0.09,0.62,0.01,0.18,0.01,0.10,0.01,0
5733,img_27187.jpg,0.25,0.01,0.49,0.24,0.02,0.01,0.01,0.01,0.01,0.01,0
5699,img_27327.jpg,0.49,0.01,0.50,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
946,img_27472.jpg,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
6467,img_27480.jpg,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.45,0
6428,img_2765.jpg,0.21,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.77,0
7283,img_27728.jpg,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.99,0
7321,img_27760.jpg,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.97,0
65,img_28185.jpg,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.80,0.01,0
3951,img_28569.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.96,0.01,0
7253,img_28578.jpg,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.97,0
4679,img_28666.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.98,0.01,0
5746,img_29172.jpg,0.10,0.01,0.75,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0
4657,img_292.jpg,0.06,0.01,0.55,0.01,0.12,0.01,0.09,0.01,0.11,0.06,0
4697,img_29340.jpg,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.97,0
7247,img_29357.jpg,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.95,0
3949,img_29863.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.88,0.01,0
7332,img_29918.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
3933,img_2992.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0
1008,img_29923.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.94,0
6460,img_30060.jpg,0.37,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.48,0
2213,img_30164.jpg,0.40,0.57,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0
4684,img_30340.jpg,0.05,0.01,0.06,0.09,0.01,0.01,0.04,0.70,0.02,0.04,0
6490,img_30520.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0
6424,img_31068.jpg,0.01,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.95,0
7284,img_31076.jpg,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.94,0
2207,img_31345.jpg,0.43,0.53,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0
922,img_31424.jpg,0.19,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.74,0
884,img_31460.jpg,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.02,0.10,0
895,img_31461.jpg,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.71,0.03,0.12,0
876,img_31808.jpg,0.37,0.01,0.01,0.01,0.01,0.02,0.01,0.22,0.01,0.38,0
4645,img_31997.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0
6494,img_32153.jpg,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.01,1.00,0
4668,img_32257.jpg,0.01,0.01,0.01,0.01,0.04,0.01,0.07,0.01,0.92,0.01,0
3959,img_32321.jpg,0.22,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.70,0
2211,img_32619.jpg,0.09,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
7307,img_32714.jpg,0.01,0.01,0.01,0.20,0.01,0.01,0.01,0.01,0.41,0.39,0
4677,img_32825.jpg,0.02,0.01,0.01,0.01,0.09,0.01,0.01,0.17,0.69,0.01,0
7264,img_32990.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
2141,img_33315.jpg,0.44,0.02,0.01,0.04,0.01,0.03,0.01,0.01,0.01,0.47,0
4670,img_33484.jpg,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.65,0.32,0
7302,img_3349.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
4685,img_33727.jpg,0.04,0.01,0.03,0.24,0.06,0.01,0.09,0.32,0.02,0.20,0
6430,img_33768.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0
6427,img_34.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0
6492,img_34028.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.97,0
5738,img_34032.jpg,0.41,0.01,0.56,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0
7281,img_34092.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0
6484,img_34224.jpg,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.99,0
2241,img_34269.jpg,0.24,0.74,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0
4643,img_344.jpg,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.79,0.01,0
6429,img_34435.jpg,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0
5649,img_34878.jpg,0.42,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
924,img_35136.jpg,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.87,0
7315,img_35189.jpg,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.01,0.58,0
6466,img_35525.jpg,0.11,0.01,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.41,0
906,img_35642.jpg,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.40,0
2155,img_35669.jpg,0.20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.79,0
7242,img_35809.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0
2197,img_36206.jpg,0.05,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5680,img_36287.jpg,0.37,0.01,0.58,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0
2183,img_36300.jpg,0.17,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0
6432,img_36354.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.94,0
21,img_36445.jpg,0.10,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.08,0.05,0
6465,img_36597.jpg,0.02,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.60,0
7300,img_36854.jpg,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.96,0
4647,img_3739.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0
917,img_37570.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,0
7311,img_37676.jpg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.96,0
7260,img_38288.jpg,0.01,0.01,0.01,0.10,0.01,0.01,0.01,0.01,0.01,0.95,0
2204,img_38514.jpg,0.01,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
6426,img_38766.jpg,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.86,0
59,img_39067.jpg,0.15,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.53,0
6434,img_39126.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.97,0
907,img_39380.jpg,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.51,0
6497,img_39447.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.03,0.94,0
7292,img_39787.jpg,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.97,0
970,img_40014.jpg,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0
2214,img_40312.jpg,0.01,0.98,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
2118,img_40374.jpg,0.01,0.37,0.01,0.01,0.01,0.38,0.01,0.09,0.14,0.01,0
910,img_4054.jpg,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.86,0
7274,img_40733.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
6439,img_40742.jpg,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.46,0
7327,img_41089.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0
3943,img_41348.jpg,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.35,0.54,0.01,0
3950,img_41813.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.76,0.07,0
2164,img_41847.jpg,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.97,0
78,img_41859.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.10,0
7276,img_41894.jpg,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.94,0
6431,img_42144.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
6436,img_42336.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.95,0
894,img_42578.jpg,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.03,0.29,0
2127,img_42587.jpg,0.09,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
2154,img_42723.jpg,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0
891,img_42798.jpg,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.03,0.14,0
4639,img_42832.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0.01,0
3932,img_42975.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0
7291,img_4335.jpg,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.73,0
6491,img_43775.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
3942,img_43848.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0
77,img_43958.jpg,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.79,0.01,0
6469,img_44419.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0
916,img_44644.jpg,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0
4681,img_44686.jpg,0.15,0.01,0.02,0.09,0.02,0.01,0.01,0.18,0.38,0.14,0
2130,img_44933.jpg,0.25,0.04,0.01,0.08,0.01,0.01,0.01,0.01,0.04,0.57,0
909,img_45499.jpg,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.76,0
7252,img_45571.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.97,0
4706,img_45980.jpg,0.03,0.01,0.57,0.01,0.07,0.01,0.01,0.01,0.04,0.26,0
2132,img_46053.jpg,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
2114,img_46060.jpg,0.46,0.47,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.05,0
70,img_46441.jpg,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0
4669,img_47131.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.03,0
2117,img_47285.jpg,0.13,0.10,0.01,0.01,0.01,0.70,0.01,0.01,0.01,0.07,0
7282,img_47385.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
7309,img_47447.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.97,0
7275,img_47558.jpg,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,1.00,0
4675,img_47700.jpg,0.03,0.01,0.01,0.01,0.04,0.01,0.01,0.23,0.70,0.01,0
4683,img_47956.jpg,0.04,0.01,0.07,0.15,0.01,0.01,0.01,0.67,0.01,0.05,0
2209,img_48161.jpg,0.04,0.40,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0
4634,img_4891.jpg,0.01,0.01,0.04,0.03,0.40,0.01,0.26,0.01,0.25,0.02,0
7,img_48931.jpg,0.39,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.59,0
7314,img_49150.jpg,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.01,0.67,0
7324,img_49161.jpg,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.77,0
6462,img_49215.jpg,0.33,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.56,0
4656,img_49851.jpg,0.10,0.01,0.41,0.01,0.05,0.01,0.07,0.02,0.27,0.06,0
2218,img_49872.jpg,0.36,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5751,img_50052.jpg,0.19,0.01,0.26,0.52,0.01,0.01,0.01,0.01,0.01,0.01,0
5747,img_5015.jpg,0.04,0.01,0.45,0.50,0.01,0.01,0.01,0.01,0.01,0.01,0
4641,img_50295.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0
3356,img_50384.jpg,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.77,0.01,0
4640,img_50477.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.99,0.01,0
6437,img_50553.jpg,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.57,0
69,img_50618.jpg,0.07,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.92,0.03,0
6454,img_50792.jpg,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.97,0
3310,img_50819.jpg,0.43,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.12,0
5748,img_50920.jpg,0.14,0.01,0.20,0.62,0.01,0.01,0.01,0.03,0.01,0.01,0
7312,img_50942.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0
5701,img_51408.jpg,0.47,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0
22,img_51537.jpg,0.04,0.01,0.01,0.01,0.01,0.56,0.01,0.01,0.12,0.27,0
3359,img_51658.jpg,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,1.00,0.01,0
885,img_51849.jpg,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.09,0
905,img_51918.jpg,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.01,0.20,0
5754,img_5198.jpg,0.46,0.01,0.47,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0
7288,img_51985.jpg,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.96,0
888,img_52101.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.07,0
4676,img_52282.jpg,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.97,0.01,0
75,img_5237.jpg,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.72,0.01,0
5736,img_52372.jpg,0.32,0.01,0.52,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0
5742,img_52402.jpg,0.26,0.01,0.18,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0
2137,img_52476.jpg,0.22,0.03,0.01,0.01,0.01,0.05,0.04,0.03,0.23,0.39,0
4695,img_52557.jpg,0.01,0.01,0.76,0.01,0.01,0.01,0.03,0.01,0.04,0.16,0
3931,img_52801.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.07,0
6483,img_53148.jpg,0.01,0.01,0.06,0.01,0.02,0.01,0.01,0.01,0.61,0.29,0
7325,img_53288.jpg,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.98,0
7278,img_53356.jpg,0.04,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.72,0
3947,img_5349.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.96,0.02,0
4628,img_53526.jpg,0.01,0.01,0.01,0.74,0.16,0.01,0.03,0.01,0.05,0.02,0
2169,img_53692.jpg,0.35,0.63,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0
