img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
img_80630.jpg,0.126,0.112,0.026,0.038,0.056,0.184,0.086,0.114,0.126,0.132
img_10582.jpg,0.178,0.042,0.040,0.064,0.050,0.172,0.068,0.150,0.068,0.168
img_14621.jpg,0.120,0.098,0.024,0.070,0.072,0.166,0.092,0.144,0.096,0.118
img_14970.jpg,0.120,0.098,0.050,0.050,0.050,0.196,0.108,0.102,0.130,0.096
img_74672.jpg,0.122,0.120,0.020,0.062,0.080,0.182,0.078,0.104,0.116,0.116
img_100026.jpg,0.148,0.082,0.022,0.042,0.068,0.166,0.094,0.140,0.116,0.122
img_83502.jpg,0.132,0.060,0.020,0.068,0.092,0.168,0.106,0.102,0.120,0.132
img_93917.jpg,0.138,0.078,0.016,0.062,0.060,0.208,0.102,0.102,0.096,0.138
img_92507.jpg,0.116,0.118,0.004,0.038,0.068,0.260,0.058,0.142,0.098,0.098
img_12017.jpg,0.154,0.122,0.018,0.030,0.084,0.168,0.136,0.108,0.108,0.072
img_61415.jpg,0.130,0.142,0.024,0.056,0.028,0.268,0.070,0.108,0.098,0.076
img_2205.jpg,0.204,0.074,0.016,0.042,0.034,0.206,0.062,0.150,0.068,0.144
img_85798.jpg,0.184,0.094,0.030,0.050,0.050,0.168,0.116,0.142,0.100,0.066
img_39595.jpg,0.218,0.080,0.028,0.068,0.090,0.092,0.062,0.132,0.082,0.148
img_24291.jpg,0.156,0.096,0.034,0.094,0.134,0.062,0.044,0.124,0.112,0.144
img_22411.jpg,0.142,0.064,0.034,0.102,0.176,0.068,0.058,0.118,0.094,0.144
img_87735.jpg,0.216,0.062,0.036,0.084,0.078,0.068,0.046,0.134,0.070,0.206
img_27901.jpg,0.142,0.086,0.028,0.060,0.094,0.154,0.040,0.134,0.108,0.154
img_51736.jpg,0.288,0.052,0.024,0.094,0.134,0.062,0.044,0.060,0.090,0.152
img_1063.jpg,0.224,0.042,0.040,0.098,0.140,0.052,0.026,0.068,0.110,0.200
img_86533.jpg,0.124,0.074,0.038,0.130,0.146,0.104,0.044,0.078,0.138,0.124
img_79538.jpg,0.204,0.130,0.032,0.054,0.098,0.078,0.098,0.130,0.104,0.072
img_88057.jpg,0.138,0.126,0.072,0.048,0.070,0.060,0.164,0.158,0.096,0.068
img_73279.jpg,0.190,0.128,0.038,0.060,0.074,0.100,0.130,0.094,0.104,0.082
img_4020.jpg,0.172,0.140,0.014,0.030,0.060,0.136,0.140,0.082,0.152,0.074
img_19401.jpg,0.230,0.086,0.004,0.052,0.060,0.152,0.106,0.106,0.100,0.104
img_71452.jpg,0.204,0.092,0.042,0.020,0.068,0.198,0.078,0.112,0.096,0.090
img_37346.jpg,0.184,0.100,0.026,0.044,0.066,0.128,0.124,0.114,0.120,0.094
img_81517.jpg,0.230,0.104,0.066,0.026,0.106,0.076,0.066,0.072,0.160,0.094
img_56056.jpg,0.240,0.056,0.068,0.054,0.130,0.050,0.060,0.094,0.138,0.110
img_39067.jpg,0.180,0.052,0.070,0.042,0.130,0.076,0.054,0.096,0.118,0.182
img_101175.jpg,0.330,0.074,0.032,0.036,0.060,0.070,0.026,0.064,0.142,0.166
img_57075.jpg,0.232,0.152,0.022,0.030,0.074,0.094,0.096,0.130,0.106,0.064
img_27997.jpg,0.260,0.120,0.030,0.026,0.060,0.088,0.102,0.102,0.114,0.098
img_28215.jpg,0.174,0.152,0.014,0.056,0.066,0.158,0.104,0.102,0.086,0.088
img_15197.jpg,0.128,0.112,0.036,0.024,0.036,0.172,0.106,0.154,0.114,0.118
img_28185.jpg,0.134,0.126,0.032,0.028,0.052,0.134,0.132,0.126,0.158,0.078
img_95245.jpg,0.126,0.162,0.020,0.042,0.058,0.088,0.154,0.126,0.154,0.070
img_58791.jpg,0.176,0.102,0.046,0.058,0.066,0.088,0.114,0.104,0.182,0.064
img_85940.jpg,0.172,0.138,0.046,0.040,0.058,0.090,0.148,0.106,0.122,0.080
img_50618.jpg,0.136,0.098,0.038,0.028,0.044,0.164,0.076,0.132,0.156,0.128
img_46441.jpg,0.104,0.146,0.050,0.046,0.046,0.122,0.152,0.108,0.172,0.054
img_7031.jpg,0.120,0.128,0.018,0.036,0.044,0.110,0.156,0.136,0.166,0.086
img_97027.jpg,0.146,0.116,0.024,0.030,0.050,0.156,0.088,0.110,0.180,0.100
img_2113.jpg,0.142,0.136,0.022,0.056,0.036,0.178,0.118,0.118,0.128,0.066
img_51478.jpg,0.152,0.120,0.020,0.038,0.046,0.134,0.116,0.172,0.092,0.110
img_5237.jpg,0.126,0.150,0.028,0.038,0.052,0.128,0.110,0.160,0.136,0.072
img_10314.jpg,0.142,0.116,0.022,0.054,0.076,0.132,0.110,0.130,0.120,0.098
img_43958.jpg,0.112,0.126,0.038,0.038,0.030,0.098,0.124,0.216,0.130,0.088
img_41859.jpg,0.186,0.086,0.022,0.046,0.056,0.110,0.078,0.144,0.120,0.152
img_88453.jpg,0.092,0.132,0.080,0.068,0.078,0.110,0.126,0.108,0.156,0.050
img_21712.jpg,0.096,0.194,0.036,0.078,0.074,0.092,0.096,0.154,0.122,0.058
img_10247.jpg,0.048,0.124,0.034,0.128,0.162,0.094,0.132,0.078,0.100,0.100
img_81021.jpg,0.062,0.080,0.036,0.126,0.214,0.104,0.082,0.092,0.132,0.072
img_98647.jpg,0.068,0.138,0.054,0.098,0.180,0.108,0.098,0.090,0.094,0.072
img_6039.jpg,0.094,0.142,0.030,0.126,0.152,0.118,0.074,0.076,0.126,0.062
img_45420.jpg,0.072,0.164,0.036,0.090,0.112,0.128,0.134,0.100,0.094,0.070
img_88381.jpg,0.104,0.136,0.038,0.080,0.094,0.178,0.104,0.086,0.106,0.074
img_53045.jpg,0.086,0.168,0.060,0.076,0.092,0.146,0.108,0.072,0.120,0.072
img_45976.jpg,0.088,0.106,0.026,0.094,0.148,0.180,0.080,0.094,0.102,0.082
img_2477.jpg,0.076,0.136,0.046,0.080,0.138,0.114,0.100,0.066,0.148,0.096
img_3470.jpg,0.088,0.158,0.022,0.132,0.078,0.148,0.112,0.076,0.100,0.086
img_42871.jpg,0.098,0.112,0.020,0.098,0.094,0.230,0.048,0.088,0.110,0.102
img_8895.jpg,0.098,0.124,0.044,0.120,0.120,0.148,0.050,0.082,0.136,0.078
img_85319.jpg,0.112,0.110,0.032,0.092,0.076,0.212,0.068,0.112,0.112,0.074
img_53705.jpg,0.124,0.104,0.032,0.090,0.120,0.114,0.064,0.126,0.138,0.088
img_97835.jpg,0.066,0.150,0.028,0.146,0.114,0.118,0.088,0.092,0.124,0.074
img_3590.jpg,0.056,0.210,0.024,0.102,0.100,0.078,0.142,0.096,0.092,0.100
img_79033.jpg,0.104,0.146,0.020,0.088,0.080,0.150,0.082,0.114,0.128,0.088
img_33965.jpg,0.100,0.158,0.032,0.074,0.078,0.156,0.110,0.108,0.096,0.088
img_74582.jpg,0.072,0.142,0.026,0.130,0.092,0.112,0.132,0.090,0.138,0.066
img_48025.jpg,0.108,0.160,0.034,0.102,0.110,0.090,0.102,0.106,0.118,0.070
img_68509.jpg,0.096,0.150,0.012,0.112,0.084,0.148,0.092,0.098,0.096,0.112
img_50839.jpg,0.100,0.148,0.018,0.092,0.096,0.128,0.090,0.110,0.128,0.090
img_18674.jpg,0.128,0.100,0.020,0.118,0.106,0.112,0.088,0.104,0.086,0.138
img_98532.jpg,0.098,0.142,0.010,0.176,0.114,0.092,0.072,0.100,0.096,0.100
img_66790.jpg,0.108,0.158,0.014,0.126,0.102,0.102,0.080,0.110,0.120,0.080
img_80626.jpg,0.110,0.130,0.024,0.140,0.070,0.150,0.068,0.122,0.072,0.114
img_3963.jpg,0.116,0.120,0.020,0.144,0.102,0.086,0.106,0.108,0.110,0.088
img_4902.jpg,0.108,0.108,0.038,0.162,0.094,0.120,0.064,0.066,0.142,0.098
img_67409.jpg,0.092,0.124,0.038,0.132,0.088,0.154,0.072,0.070,0.148,0.082
img_77908.jpg,0.114,0.116,0.032,0.148,0.106,0.140,0.058,0.062,0.118,0.106
img_10851.jpg,0.074,0.158,0.034,0.142,0.088,0.112,0.112,0.068,0.132,0.080
img_27048.jpg,0.066,0.096,0.032,0.096,0.098,0.248,0.080,0.090,0.092,0.102
img_91020.jpg,0.062,0.148,0.022,0.090,0.082,0.272,0.046,0.068,0.088,0.122
img_58220.jpg,0.096,0.164,0.022,0.076,0.100,0.162,0.090,0.092,0.112,0.086
img_38913.jpg,0.110,0.168,0.042,0.096,0.100,0.114,0.106,0.054,0.110,0.100
img_91481.jpg,0.082,0.152,0.040,0.060,0.076,0.210,0.106,0.094,0.114,0.066
img_90468.jpg,0.108,0.084,0.030,0.094,0.070,0.184,0.076,0.100,0.132,0.122
img_8220.jpg,0.142,0.100,0.036,0.106,0.082,0.148,0.072,0.082,0.154,0.078
img_40045.jpg,0.100,0.120,0.040,0.138,0.088,0.154,0.070,0.058,0.140,0.092
img_30784.jpg,0.096,0.136,0.038,0.122,0.068,0.186,0.068,0.080,0.134,0.072
img_25591.jpg,0.082,0.186,0.044,0.084,0.070,0.120,0.130,0.090,0.138,0.056
img_59864.jpg,0.100,0.098,0.026,0.126,0.102,0.138,0.084,0.096,0.148,0.082
img_8349.jpg,0.104,0.118,0.038,0.108,0.074,0.130,0.076,0.110,0.136,0.106
img_62226.jpg,0.104,0.110,0.058,0.084,0.072,0.132,0.116,0.100,0.158,0.066
img_36391.jpg,0.078,0.162,0.048,0.078,0.058,0.116,0.140,0.114,0.138,0.068
img_29100.jpg,0.102,0.122,0.026,0.102,0.076,0.138,0.122,0.088,0.168,0.056
img_49641.jpg,0.080,0.140,0.034,0.160,0.056,0.180,0.088,0.088,0.100,0.074
img_102084.jpg,0.074,0.134,0.026,0.114,0.050,0.188,0.078,0.132,0.120,0.084
img_68392.jpg,0.078,0.136,0.022,0.122,0.070,0.154,0.138,0.092,0.126,0.062
img_33598.jpg,0.094,0.132,0.054,0.084,0.054,0.118,0.122,0.132,0.160,0.050
img_66087.jpg,0.116,0.106,0.030,0.120,0.060,0.102,0.118,0.098,0.144,0.106
img_42544.jpg,0.110,0.066,0.018,0.122,0.090,0.174,0.088,0.108,0.134,0.090
img_40701.jpg,0.118,0.094,0.040,0.114,0.090,0.116,0.064,0.100,0.134,0.130
img_24145.jpg,0.134,0.082,0.028,0.150,0.084,0.136,0.088,0.056,0.150,0.092
img_40469.jpg,0.096,0.106,0.026,0.148,0.094,0.152,0.098,0.060,0.130,0.090
img_8888.jpg,0.110,0.110,0.036,0.146,0.110,0.100,0.078,0.052,0.132,0.126
img_99119.jpg,0.080,0.136,0.034,0.140,0.092,0.142,0.104,0.060,0.154,0.058
img_86845.jpg,0.100,0.114,0.060,0.106,0.092,0.154,0.114,0.072,0.130,0.058
img_87018.jpg,0.090,0.106,0.016,0.156,0.104,0.158,0.074,0.070,0.128,0.098
img_86827.jpg,0.100,0.120,0.016,0.120,0.094,0.114,0.124,0.072,0.162,0.078
img_19216.jpg,0.076,0.152,0.040,0.084,0.060,0.158,0.110,0.080,0.128,0.112
img_11034.jpg,0.114,0.084,0.024,0.126,0.096,0.128,0.080,0.100,0.166,0.082
img_51808.jpg,0.056,0.128,0.034,0.196,0.114,0.134,0.084,0.060,0.114,0.080
img_76735.jpg,0.128,0.102,0.020,0.088,0.070,0.168,0.082,0.094,0.154,0.094
img_60856.jpg,0.058,0.088,0.024,0.136,0.102,0.186,0.056,0.138,0.136,0.076
img_96038.jpg,0.086,0.078,0.014,0.132,0.080,0.224,0.042,0.124,0.124,0.096
img_17320.jpg,0.066,0.098,0.018,0.174,0.060,0.200,0.054,0.090,0.128,0.112
img_60236.jpg,0.052,0.114,0.008,0.244,0.084,0.164,0.044,0.120,0.098,0.072
img_7665.jpg,0.082,0.122,0.010,0.202,0.074,0.142,0.056,0.132,0.088,0.092
img_5114.jpg,0.098,0.102,0.026,0.114,0.086,0.176,0.106,0.090,0.118,0.084
img_100135.jpg,0.054,0.100,0.028,0.102,0.084,0.230,0.110,0.076,0.120,0.096
img_15483.jpg,0.068,0.128,0.022,0.126,0.114,0.164,0.100,0.078,0.132,0.068
img_21184.jpg,0.062,0.110,0.034,0.100,0.110,0.126,0.108,0.092,0.170,0.088
img_78090.jpg,0.072,0.140,0.032,0.110,0.106,0.134,0.126,0.126,0.086,0.068
img_87486.jpg,0.052,0.190,0.036,0.116,0.112,0.126,0.154,0.068,0.098,0.048
img_74840.jpg,0.080,0.104,0.034,0.102,0.146,0.142,0.100,0.078,0.116,0.098
img_80772.jpg,0.092,0.140,0.052,0.062,0.086,0.098,0.142,0.106,0.144,0.078
img_17933.jpg,0.072,0.116,0.036,0.068,0.062,0.130,0.146,0.114,0.162,0.094
img_89704.jpg,0.072,0.128,0.032,0.076,0.072,0.140,0.102,0.116,0.172,0.090
img_15079.jpg,0.060,0.168,0.032,0.128,0.064,0.124,0.084,0.082,0.142,0.116
img_56082.jpg,0.084,0.110,0.034,0.166,0.094,0.142,0.066,0.072,0.130,0.102
img_7941.jpg,0.080,0.112,0.028,0.138,0.082,0.134,0.080,0.084,0.128,0.134
img_45922.jpg,0.074,0.146,0.038,0.152,0.056,0.124,0.060,0.074,0.140,0.136
img_6283.jpg,0.100,0.066,0.184,0.038,0.056,0.064,0.116,0.092,0.214,0.070
img_48034.jpg,0.094,0.072,0.116,0.026,0.054,0.066,0.124,0.134,0.224,0.090
img_19275.jpg,0.074,0.080,0.204,0.038,0.064,0.048,0.144,0.050,0.248,0.050
img_36309.jpg,0.074,0.078,0.186,0.046,0.074,0.050,0.134,0.084,0.216,0.058
img_88985.jpg,0.068,0.108,0.110,0.036,0.076,0.090,0.192,0.102,0.166,0.052
img_26714.jpg,0.088,0.122,0.076,0.040,0.074,0.078,0.100,0.148,0.208,0.066
img_89023.jpg,0.108,0.062,0.144,0.052,0.080,0.052,0.100,0.128,0.210,0.064
img_78815.jpg,0.078,0.098,0.066,0.078,0.092,0.092,0.120,0.096,0.212,0.068
img_61702.jpg,0.098,0.068,0.096,0.058,0.076,0.090,0.110,0.118,0.220,0.066
img_63804.jpg,0.078,0.082,0.146,0.038,0.074,0.058,0.142,0.134,0.180,0.068
img_22384.jpg,0.086,0.090,0.096,0.070,0.086,0.106,0.118,0.088,0.178,0.082
img_13420.jpg,0.064,0.098,0.104,0.032,0.102,0.080,0.206,0.104,0.144,0.066
img_51594.jpg,0.084,0.098,0.120,0.052,0.094,0.058,0.108,0.120,0.176,0.090
img_32133.jpg,0.100,0.100,0.072,0.064,0.106,0.084,0.108,0.136,0.160,0.070
img_88485.jpg,0.076,0.080,0.156,0.066,0.096,0.046,0.178,0.082,0.166,0.054
img_90847.jpg,0.070,0.088,0.094,0.032,0.106,0.058,0.180,0.124,0.184,0.064
img_42132.jpg,0.092,0.108,0.090,0.056,0.068,0.080,0.152,0.112,0.168,0.074
img_67408.jpg,0.092,0.092,0.092,0.066,0.078,0.068,0.136,0.150,0.158,0.068
img_13623.jpg,0.126,0.064,0.070,0.060,0.092,0.084,0.130,0.120,0.174,0.080
img_9193.jpg,0.074,0.100,0.158,0.046,0.070,0.046,0.154,0.092,0.200,0.060
img_34964.jpg,0.106,0.086,0.086,0.068,0.086,0.054,0.150,0.098,0.188,0.078
img_31212.jpg,0.082,0.074,0.088,0.088,0.080,0.046,0.168,0.116,0.198,0.060
img_25551.jpg,0.096,0.084,0.080,0.078,0.082,0.068,0.138,0.120,0.184,0.070
img_44691.jpg,0.144,0.088,0.064,0.082,0.080,0.078,0.100,0.116,0.164,0.084
img_26979.jpg,0.138,0.054,0.062,0.082,0.100,0.078,0.130,0.078,0.170,0.108
img_99377.jpg,0.110,0.060,0.052,0.080,0.106,0.078,0.106,0.146,0.192,0.070
img_97977.jpg,0.104,0.096,0.064,0.090,0.098,0.062,0.124,0.102,0.176,0.084
img_67222.jpg,0.092,0.092,0.112,0.084,0.084,0.044,0.110,0.116,0.204,0.062
img_85172.jpg,0.100,0.090,0.074,0.056,0.092,0.098,0.104,0.084,0.198,0.104
img_77393.jpg,0.106,0.072,0.084,0.058,0.066,0.084,0.120,0.150,0.176,0.084
img_52819.jpg,0.096,0.080,0.148,0.058,0.102,0.050,0.184,0.066,0.168,0.048
img_42259.jpg,0.168,0.076,0.046,0.082,0.096,0.058,0.082,0.096,0.194,0.102
img_16918.jpg,0.106,0.100,0.104,0.060,0.120,0.054,0.112,0.092,0.176,0.076
img_66767.jpg,0.124,0.094,0.072,0.048,0.106,0.060,0.102,0.122,0.192,0.080
img_4913.jpg,0.140,0.090,0.100,0.046,0.096,0.046,0.078,0.114,0.204,0.086
img_78052.jpg,0.114,0.090,0.082,0.074,0.098,0.030,0.152,0.076,0.222,0.062
img_19951.jpg,0.122,0.080,0.084,0.042,0.084,0.044,0.136,0.100,0.230,0.078
img_24630.jpg,0.112,0.100,0.090,0.058,0.070,0.056,0.160,0.112,0.178,0.064
img_91506.jpg,0.092,0.120,0.138,0.038,0.052,0.070,0.150,0.074,0.214,0.052
img_66221.jpg,0.100,0.132,0.064,0.042,0.066,0.066,0.188,0.064,0.200,0.078
img_52774.jpg,0.110,0.100,0.044,0.066,0.108,0.070,0.156,0.078,0.186,0.082
img_16161.jpg,0.058,0.124,0.090,0.058,0.090,0.070,0.174,0.078,0.202,0.056
img_29726.jpg,0.072,0.096,0.086,0.062,0.094,0.060,0.158,0.096,0.202,0.074
img_41294.jpg,0.108,0.074,0.076,0.074,0.090,0.054,0.130,0.090,0.220,0.084
img_61565.jpg,0.090,0.098,0.096,0.054,0.082,0.078,0.112,0.092,0.208,0.090
img_95591.jpg,0.140,0.140,0.094,0.052,0.084,0.046,0.114,0.088,0.166,0.076
img_86027.jpg,0.080,0.122,0.100,0.062,0.102,0.056,0.142,0.064,0.186,0.086
img_26277.jpg,0.108,0.090,0.074,0.050,0.090,0.074,0.128,0.124,0.184,0.078
img_26588.jpg,0.122,0.102,0.098,0.052,0.104,0.070,0.110,0.096,0.166,0.080
img_55162.jpg,0.150,0.112,0.140,0.062,0.072,0.054,0.070,0.080,0.190,0.070
img_97132.jpg,0.088,0.126,0.112,0.066,0.048,0.070,0.110,0.098,0.212,0.070
img_48638.jpg,0.076,0.114,0.080,0.070,0.066,0.104,0.098,0.110,0.194,0.088
img_13601.jpg,0.104,0.140,0.074,0.058,0.048,0.076,0.136,0.096,0.182,0.086
img_69156.jpg,0.088,0.100,0.082,0.032,0.056,0.112,0.108,0.166,0.158,0.098
img_81125.jpg,0.110,0.116,0.134,0.044,0.086,0.056,0.146,0.084,0.150,0.074
img_98607.jpg,0.136,0.112,0.164,0.024,0.046,0.084,0.126,0.098,0.150,0.060
img_59138.jpg,0.098,0.122,0.066,0.070,0.062,0.096,0.128,0.082,0.148,0.128
img_48117.jpg,0.138,0.084,0.060,0.058,0.072,0.116,0.122,0.066,0.142,0.142
img_50818.jpg,0.108,0.078,0.064,0.036,0.062,0.134,0.128,0.074,0.192,0.124
img_57358.jpg,0.074,0.126,0.068,0.040,0.050,0.092,0.168,0.098,0.208,0.076
img_32644.jpg,0.064,0.128,0.106,0.054,0.064,0.080,0.154,0.078,0.214,0.058
img_79469.jpg,0.056,0.066,0.132,0.050,0.062,0.058,0.140,0.142,0.228,0.066
img_48607.jpg,0.060,0.064,0.124,0.038,0.076,0.074,0.136,0.134,0.218,0.076
img_17645.jpg,0.046,0.124,0.066,0.052,0.078,0.072,0.108,0.094,0.272,0.088
img_22414.jpg,0.044,0.084,0.138,0.060,0.062,0.066,0.132,0.088,0.256,0.070
img_7452.jpg,0.060,0.106,0.106,0.060,0.066,0.040,0.152,0.096,0.230,0.084
img_79370.jpg,0.076,0.106,0.068,0.048,0.078,0.082,0.138,0.112,0.216,0.076
img_4850.jpg,0.086,0.068,0.102,0.040,0.062,0.078,0.118,0.120,0.252,0.074
img_92681.jpg,0.064,0.058,0.102,0.040,0.070,0.060,0.138,0.156,0.270,0.042
img_23792.jpg,0.056,0.072,0.098,0.054,0.094,0.058,0.102,0.156,0.232,0.078
img_95684.jpg,0.098,0.064,0.062,0.088,0.080,0.088,0.094,0.098,0.206,0.122
img_12723.jpg,0.072,0.074,0.078,0.044,0.074,0.072,0.116,0.174,0.212,0.084
img_8270.jpg,0.098,0.080,0.106,0.064,0.148,0.070,0.112,0.066,0.188,0.068
img_11704.jpg,0.076,0.094,0.088,0.036,0.106,0.060,0.174,0.080,0.236,0.050
img_13469.jpg,0.106,0.084,0.100,0.058,0.108,0.038,0.126,0.072,0.228,0.080
img_10108.jpg,0.072,0.078,0.110,0.040,0.058,0.084,0.136,0.098,0.262,0.062
img_78892.jpg,0.066,0.080,0.092,0.036,0.070,0.076,0.166,0.100,0.246,0.068
img_90276.jpg,0.056,0.094,0.130,0.022,0.074,0.068,0.180,0.100,0.220,0.056
img_13963.jpg,0.058,0.086,0.152,0.058,0.068,0.052,0.130,0.080,0.254,0.062
img_66850.jpg,0.066,0.076,0.166,0.036,0.070,0.056,0.186,0.066,0.242,0.036
img_86557.jpg,0.076,0.076,0.146,0.034,0.080,0.044,0.140,0.080,0.276,0.048
img_92271.jpg,0.036,0.094,0.146,0.026,0.058,0.040,0.200,0.110,0.252,0.038
img_30589.jpg,0.074,0.064,0.116,0.078,0.060,0.080,0.114,0.132,0.212,0.070
img_9050.jpg,0.092,0.078,0.126,0.052,0.096,0.070,0.142,0.116,0.186,0.042
img_81428.jpg,0.060,0.084,0.136,0.042,0.082,0.060,0.182,0.134,0.172,0.048
img_76850.jpg,0.094,0.098,0.088,0.058,0.084,0.090,0.132,0.116,0.172,0.068
img_60810.jpg,0.076,0.076,0.070,0.080,0.094,0.100,0.104,0.108,0.216,0.076
img_98556.jpg,0.090,0.102,0.084,0.058,0.094,0.080,0.106,0.146,0.160,0.080
img_71831.jpg,0.134,0.128,0.022,0.142,0.144,0.054,0.070,0.116,0.110,0.080
img_70705.jpg,0.156,0.130,0.022,0.154,0.130,0.040,0.096,0.114,0.084,0.074
img_21510.jpg,0.128,0.116,0.048,0.106,0.184,0.062,0.084,0.106,0.098,0.068
img_38684.jpg,0.124,0.172,0.018,0.214,0.150,0.036,0.066,0.056,0.094,0.070
img_17291.jpg,0.094,0.154,0.012,0.224,0.152,0.050,0.088,0.048,0.114,0.064
img_84716.jpg,0.076,0.154,0.022,0.268,0.122,0.052,0.074,0.088,0.088,0.056
img_95266.jpg,0.062,0.138,0.016,0.334,0.128,0.056,0.070,0.066,0.066,0.064
img_63556.jpg,0.084,0.106,0.012,0.360,0.122,0.064,0.074,0.046,0.070,0.062
img_89871.jpg,0.116,0.072,0.010,0.274,0.156,0.060,0.058,0.082,0.092,0.080
img_91351.jpg,0.066,0.078,0.010,0.312,0.148,0.076,0.050,0.090,0.078,0.092
img_77390.jpg,0.076,0.098,0.018,0.266,0.170,0.060,0.062,0.076,0.096,0.078
img_97164.jpg,0.132,0.046,0.018,0.264,0.206,0.068,0.054,0.076,0.076,0.060
img_5733.jpg,0.088,0.070,0.020,0.160,0.216,0.104,0.060,0.112,0.090,0.080
img_81202.jpg,0.116,0.074,0.014,0.154,0.152,0.102,0.058,0.148,0.086,0.096
img_79948.jpg,0.078,0.078,0.034,0.166,0.252,0.082,0.054,0.110,0.092,0.054
img_74030.jpg,0.074,0.074,0.012,0.270,0.204,0.078,0.042,0.076,0.080,0.090
img_14322.jpg,0.052,0.088,0.022,0.340,0.240,0.036,0.050,0.040,0.092,0.040
img_53253.jpg,0.092,0.074,0.016,0.264,0.170,0.070,0.052,0.088,0.104,0.070
img_1317.jpg,0.076,0.058,0.010,0.364,0.176,0.074,0.038,0.068,0.074,0.062
img_27693.jpg,0.080,0.068,0.012,0.340,0.166,0.054,0.044,0.076,0.062,0.098
img_57488.jpg,0.074,0.088,0.012,0.356,0.158,0.052,0.046,0.044,0.100,0.070
img_79928.jpg,0.102,0.098,0.006,0.336,0.168,0.062,0.032,0.052,0.088,0.056
img_62805.jpg,0.116,0.092,0.010,0.338,0.154,0.092,0.032,0.040,0.076,0.050
img_64858.jpg,0.086,0.058,0.010,0.316,0.176,0.088,0.050,0.052,0.062,0.102
img_95385.jpg,0.072,0.070,0.008,0.328,0.198,0.076,0.028,0.086,0.082,0.052
img_82715.jpg,0.102,0.066,0.014,0.320,0.136,0.064,0.054,0.090,0.076,0.078
img_87816.jpg,0.106,0.062,0.018,0.288,0.142,0.090,0.036,0.090,0.064,0.104
img_46718.jpg,0.078,0.058,0.010,0.342,0.160,0.074,0.036,0.098,0.078,0.066
img_11605.jpg,0.118,0.052,0.008,0.326,0.168,0.058,0.032,0.078,0.078,0.082
img_68570.jpg,0.092,0.076,0.012,0.246,0.178,0.068,0.044,0.112,0.092,0.080
img_14229.jpg,0.072,0.068,0.012,0.266,0.196,0.046,0.052,0.116,0.076,0.096
img_25950.jpg,0.088,0.052,0.006,0.322,0.168,0.074,0.044,0.090,0.072,0.084
