business_id;percentage_removed;counts
bypi0;8,163265306;90
u7x3q;8,163265306;90
zavl6;8,108108108;34
t180y;8;23
xkvzf;8;23
0rorx;7,894736842;35
kvv8o;7,894736842;35
8buan;7,692307692;36
a7kdv;7,692307692;12
apf76;7,692307692;12
bryfz;7,692307692;12
doube;7,692307692;12
dz9n3;7,692307692;12
emnor;7,692307692;24
fkl5k;7,692307692;12
fym2i;7,692307692;24
jhx1q;7,692307692;60
puewp;7,692307692;12
rf5a4;7,692307692;12
s0vhs;7,692307692;24
sjjdd;7,692307692;24
weygf;7,692307692;12
wj17a;7,692307692;12
zfd4y;7,692307692;12
zzxwm;7,692307692;12
5e890;7,547169811;49
suyge;7,547169811;49
1b0u4;7,407407407;25
30sn8;7,407407407;25
949wl;7,407407407;25
4vhok;7,352941176;63
ki6vz;7,317073171;38
sxsuu;7,317073171;38
0j2q7;7,142857143;13
0t3cj;7,142857143;39
1lbe9;7,142857143;26
3k44j;7,142857143;13
7bnm4;7,142857143;13
7mrsp;7,142857143;13
8fqoi;7,142857143;13
9hmfl;7,142857143;13
assuo;7,142857143;26
ca1j0;7,142857143;13
f8tr6;7,142857143;52
ja6p0;7,142857143;13
p9c12;7,142857143;39
pwhu1;7,142857143;13
s6f16;7,142857143;13
z46s4;7,142857143;13
z9qk8;7,142857143;13
dyzkh;6,956521739;107
2g18k;6,896551724;27
6tpq3;6,896551724;27
n17ba;6,896551724;27
wp6ok;6,896551724;27
3k73e;6,818181818;41
c30ad;6,818181818;82
g98j4;6,818181818;41
oqtal;6,818181818;82
u8u4m;6,741573034;83
1263s;6,666666667;14
1ltns;6,666666667;14
2c88y;6,666666667;14
8jycp;6,666666667;56
8krbp;6,666666667;14
8nhso;6,666666667;28
97g8o;6,666666667;28
9n1cb;6,666666667;14
afpu5;6,666666667;14
bqoqy;6,666666667;14
exxzp;6,666666667;14
fcswi;6,666666667;42
hasf7;6,666666667;14
hwhkz;6,666666667;14
jf6ii;6,666666667;14
k1vmn;6,666666667;14
nvj8c;6,666666667;14
qkhky;6,666666667;14
rtaz4;6,666666667;14
vltgn;6,666666667;28
vpdoj;6,666666667;28
y4yrf;6,666666667;14
yfqwt;6,666666667;14
vskdd;6,52173913;43
wm9fe;6,52173913;43
z14s7;6,52173913;43
17w4d;6,451612903;58
1p4rg;6,451612903;29
3e7aa;6,451612903;29
8turr;6,451612903;29
c0fui;6,451612903;29
hiqqp;6,451612903;29
kxt9a;6,451612903;29
oqhzj;6,451612903;29
z9giz;6,451612903;29
mqofy;6,41025641;73
hc445;6,382978723;44
edfnd;6,329113924;74
0cnbh;6,25;30
182ao;6,25;15
5f7q5;6,25;30
6syrf;6,25;30
8iidh;6,25;30
a53t5;6,25;15
bhsec;6,25;30
caxpz;6,25;15
esq2k;6,25;30
f2d7z;6,25;15
fd2so;6,25;15
fgkm9;6,25;15
fumx3;6,25;15
jwg2r;6,25;15
mtf7l;6,25;15
qxfj7;6,25;45
r13hu;6,25;15
rrmw6;6,25;15
t9hg0;6,25;15
udq36;6,25;15
uwyij;6,25;15
vo3hp;6,25;30
wymbz;6,25;15
xo4bm;6,25;15
yo3me;6,25;15
ytelf;6,25;15
yuzxi;6,25;60
yvaom;6,25;45
ena8f;6,172839506;152
2hx1g;6,060606061;31
6a5xi;6,060606061;62
b6ips;6,060606061;31
c7dqb;6,060606061;31
fsm2z;6,060606061;31
7lkd5;6;47
dj23p;5,970149254;63
a4ghc;5,952380952;79
ek3a4;5,952380952;79
0hr59;5,882352941;16
3f89e;5,882352941;32
3lfzc;5,882352941;16
4whn5;5,882352941;96
52kck;5,882352941;16
8au2s;5,882352941;16
8hyg5;5,882352941;32
b7pf5;5,882352941;16
eygu6;5,882352941;16
g3bv8;5,882352941;80
gmzn8;5,882352941;16
gvfti;5,882352941;32
idbqw;5,882352941;48
ipuar;5,882352941;48
lahqp;5,882352941;16
lmzuw;5,882352941;32
mrljr;5,882352941;16
n4yck;5,882352941;48
o3pla;5,882352941;16
pjxqa;5,882352941;16
poe4x;5,882352941;16
r11bz;5,882352941;16
r4n32;5,882352941;16
rojc5;5,882352941;16
s5fri;5,882352941;48
t8kwi;5,882352941;16
x6jnm;5,882352941;16
ztkrr;5,882352941;16
1aywh;5,797101449;65
hewuu;5,797101449;65
sgyt8;5,769230769;98
qilt0;5,747126437;82
4a2wx;5,714285714;33
5wtyv;5,714285714;33
evz7x;5,714285714;33
h878l;5,714285714;99
i6ope;5,714285714;33
pajfw;5,714285714;33
zhp95;5,714285714;33
rl851;5,696202532;149
2aczx;5,681818182;83
llkau;5,660377358;50
od9dl;5,660377358;50
ooajl;5,660377358;50
t67kb;5,660377358;50
y7og6;5,660377358;50
zyrif;5,617977528;84
2e0ln;5,555555556;17
4m6x1;5,555555556;102
82iay;5,555555556;17
935nc;5,555555556;34
937xn;5,555555556;17
96cy9;5,555555556;17
a32py;5,555555556;17
bguzp;5,555555556;34
bhm9m;5,555555556;17
cyl9q;5,555555556;17
d0tpw;5,555555556;17
dow3q;5,555555556;17
esmig;5,555555556;17
hkt0l;5,555555556;17
jycnt;5,555555556;34
k396v;5,555555556;34
k3ffi;5,555555556;51
kbom0;5,555555556;17
lmu5u;5,555555556;34
n75hq;5,555555556;17
or8ew;5,555555556;17
uvrh7;5,555555556;17
wan36;5,555555556;34
xe0jl;5,555555556;17
yxn2q;5,555555556;17
3eoj5;5,504587156;103
lbtbf;5,479452055;69
6argv;5,405405405;35
g1j4j;5,405405405;35
k5apx;5,405405405;70
mowuu;5,405405405;35
o4ajs;5,405405405;35
rywhb;5,376344086;88
v3rak;5,357142857;53
0em68;5,263157895;36
1f3xl;5,263157895;18
1hu0r;5,263157895;36
41u8h;5,263157895;36
5iuy0;5,263157895;18
71epo;5,263157895;18
7n0lu;5,263157895;54
83toa;5,263157895;18
9eie2;5,263157895;18
9ufbs;5,263157895;36
brro2;5,263157895;36
fx37i;5,263157895;36
hdba3;5,263157895;18
jg00g;5,263157895;54
msu54;5,263157895;18
n6w0c;5,263157895;18
ojdpg;5,263157895;18
ou2g7;5,263157895;54
ppe3k;5,263157895;36
q1wmu;5,263157895;54
qab13;5,263157895;18
rwap2;5,263157895;18
saeci;5,263157895;18
sidw7;5,263157895;18
tf73f;5,263157895;18
tfmvd;5,263157895;18
v63vc;5,263157895;36
w0p5r;5,263157895;36
wl9wn;5,263157895;18
wrqv9;5,263157895;54
y45zl;5,263157895;54
zg8io;5,263157895;36
2yeud;5,208333333;91
pvt67;5,194805195;146
u9zvj;5,194805195;73
fpuv2;5,172413793;110
tiwra;5,172413793;55
4dnpo;5,128205128;37
5pp90;5,128205128;37
5vbik;5,128205128;37
747w0;5,128205128;37
84tny;5,128205128;37
blq5d;5,128205128;37
bqi7y;5,128205128;37
fdbey;5,128205128;37
fsn4d;5,128205128;37
g414f;5,128205128;111
mbav7;5,128205128;37
mdsyk;5,128205128;37
oozd5;5,128205128;37
rahy9;5,128205128;37
t4jtu;5,128205128;37
vzzue;5,128205128;37
w6dy8;5,128205128;37
sahb7;5,119453925;278
3w12v;5,084745763;56
29lbo;5;38
46b4l;5;19
6cdlq;5;38
78j88;5;19
7ndz7;5;19
ceak9;5;38
crelj;5;38
f8b08;5;38
fkkpb;5;19
lo0sw;5;19
lug93;5;19
nwk38;5;19
qpqge;5;38
qv24k;5;19
ti52g;5;19
tnwkv;5;38
u0xtz;5;38
wctnd;5;19
xymrr;5;38
ykij8;5;19
zryi5;5;19
kf76a;4,95049505;96
nyv2f;4,95049505;96
1a9dn;4,918032787;58
1wtnl;4,918032787;58
3u7bv;4,918032787;174
d4d62;4,918032787;58
0n8t4;4,87804878;39
6fh9r;4,87804878;39
7mzuc;4,87804878;39
ello2;4,87804878;39
fgh6l;4,87804878;39
k4jj5;4,87804878;39
oevcv;4,87804878;39
sz1x7;4,854368932;98
7ctz8;4,819277108;79
040nh;4,761904762;20
0nq8g;4,761904762;20
10wjv;4,761904762;40
1584k;4,761904762;20
2653a;4,761904762;20
45nqg;4,761904762;20
5d29c;4,761904762;20
5g8sg;4,761904762;20
6mkc5;4,761904762;20
6ozvs;4,761904762;20
6pyg5;4,761904762;20
7f1ea;4,761904762;20
8z19h;4,761904762;20
9norj;4,761904762;40
ap2dk;4,761904762;20
au6n5;4,761904762;20
d1w5v;4,761904762;20
d7ko8;4,761904762;20
dykwk;4,761904762;20
eklv6;4,761904762;20
gbvii;4,761904762;20
gok6e;4,761904762;20
hurab;4,761904762;20
iyy1r;4,761904762;20
kg0ts;4,761904762;20
ldo5p;4,761904762;20
paasp;4,761904762;20
qiz26;4,761904762;20
sxefc;4,761904762;60
t2iob;4,761904762;80
ts2c7;4,761904762;60
udn31;4,761904762;60
umgwq;4,761904762;20
w915j;4,761904762;80
wmx5v;4,761904762;20
xfiaa;4,761904762;40
xocmk;4,761904762;40
y7epk;4,761904762;20
y80dl;4,761904762;40
yrfed;4,761904762;80
yxyqr;4,761904762;40
z32uz;4,761904762;40
z6zhw;4,761904762;20
jfgxb;4,6875;61
5em9z;4,651162791;41
74wls;4,651162791;41
d528z;4,651162791;41
d6ebm;4,651162791;41
pv33e;4,651162791;41
ssvlw;4,651162791;41
vrq3r;4,651162791;41
w7497;4,651162791;41
z37fi;4,651162791;41
dbjxf;4,62962963;103
572xf;4,615384615;62
8py6a;4,615384615;62
8w76t;4,615384615;62
d6z7e;4,615384615;62
p9e6d;4,615384615;62
pwmby;4,615384615;62
02rfd;4,545454545;21
0qy5h;4,545454545;63
1icrn;4,545454545;42
3i0lb;4,545454545;21
4y0gz;4,545454545;21
5d4wv;4,545454545;21
5f7s8;4,545454545;21
6e55p;4,545454545;21
6g4gn;4,545454545;21
72dqz;4,545454545;42
841jd;4,545454545;42
9fdui;4,545454545;21
ckhd1;4,545454545;21
e426b;4,545454545;21
htzzh;4,545454545;63
ie5hk;4,545454545;42
iiln0;4,545454545;21
kqvq4;4,545454545;21
m8cmn;4,545454545;21
p7lgz;4,545454545;21
pnajk;4,545454545;21
pnphc;4,545454545;21
q6jfj;4,545454545;21
rck0s;4,545454545;21
t6hle;4,545454545;21
tw7uj;4,545454545;42
v2jj8;4,545454545;63
v2lvi;4,545454545;21
wafis;4,545454545;21
x4slt;4,545454545;21
xzkb6;4,545454545;21
ai20u;4,47761194;64
0z5ry;4,444444444;43
3acri;4,444444444;43
93pdv;4,444444444;86
950tn;4,444444444;43
eesm3;4,444444444;43
jdou5;4,444444444;43
nj8rs;4,444444444;43
pgr7c;4,444444444;43
pvcih;4,444444444;43
9f9c3;4,411764706;65
ody77;4,411764706;65
ou3hj;4,411764706;65
lpl1v;4,371584699;175
0xnm9;4,347826087;22
2r5xw;4,347826087;44
3snbw;4,347826087;22
558xu;4,347826087;22
74p89;4,347826087;22
7jp4j;4,347826087;22
8ay0y;4,347826087;22
8ditd;4,347826087;22
9y9nn;4,347826087;22
c4kph;4,347826087;22
cw5zr;4,347826087;88
d6jkm;4,347826087;22
i2fhu;4,347826087;22
jzhwo;4,347826087;22
m3oa3;4,347826087;66
p358w;4,347826087;22
qrofu;4,347826087;22
s4g31;4,347826087;66
u7g13;4,347826087;22
uboca;4,347826087;66
uczj0;4,347826087;44
x432e;4,347826087;22
xep4v;4,347826087;22
z7hxq;4,347826087;66
1f5ex;4,301075269;89
l91kq;4,285714286;67
ddm7w;4,273504274;112
cia5l;4,255319149;45
dc5z4;4,255319149;90
pgin5;4,255319149;45
t1c68;4,255319149;45
xtxkz;4,255319149;45
fci19;4,210526316;182
2bk9j;4,166666667;23
2jm5n;4,166666667;23
31ikl;4,166666667;23
33cmf;4,166666667;23
3kvyt;4,166666667;23
3nkeq;4,166666667;23
5vknk;4,166666667;46
6e3y5;4,166666667;23
6lzf2;4,166666667;23
7g54v;4,166666667;23
8ha5o;4,166666667;23
9h3pj;4,166666667;46
9n53g;4,166666667;23
aco0q;4,166666667;23
aydsv;4,166666667;23
c2i4z;4,166666667;23
e5764;4,166666667;23
hklp6;4,166666667;23
hpt9r;4,166666667;23
ii7o7;4,166666667;23
jxtvt;4,166666667;46
jza3m;4,166666667;23
k361w;4,166666667;23
kqfm6;4,166666667;23
llfai;4,166666667;23
m5n0w;4,166666667;23
mrls2;4,166666667;23
ou823;4,166666667;23
pb4sr;4,166666667;23
r6r6b;4,166666667;46
twe13;4,166666667;69
ub34w;4,166666667;23
v3i5n;4,166666667;23
8sxj6;4,109589041;70
akl7f;4,109589041;70
on1gy;4,109589041;70
1kw6g;4,081632653;188
c7cxv;4,081632653;47
kz0qh;4,081632653;47
s6f8f;4,081632653;47
et8uc;4,054054054;284
k8wa0;4,054054054;71
nzn68;4,054054054;71
5fjer;4,04040404;95
b2210;4,04040404;95
c84yr;4,037267081;309
39aji;4;24
4uj43;4;24
71t4z;4;24
8tixg;4;24
bz8sk;4;48
ceb43;4;24
d4yui;4;24
dglj6;4;24
dwe3a;4;48
ewmkz;4;24
h4xzo;4;48
i4fex;4;24
iz9n3;4;24
jsh7j;4;24
lvy0h;4;24
m3hp0;4;48
m3y23;4;24
m7lpd;4;24
qve4k;4;96
t6tfo;4;24
tj64x;4;24
u6nww;4;48
uy43k;4;24
yrngp;4;24
s6mbi;3,968253968;121
c5gs3;3,947368421;73
bgkoh;3,921568627;49
rzz2t;3,921568627;49
wxnpr;3,921568627;98
wzeiy;3,921568627;49
dxuyw;3,883495146;99
qpl03;3,878116343;347
0v1p7;3,846153846;75
1iktw;3,846153846;25
1la8k;3,846153846;100
1odko;3,846153846;75
1ppq2;3,846153846;25
21l58;3,846153846;25
253fx;3,846153846;25
3p0bb;3,846153846;25
5i8et;3,846153846;25
5slet;3,846153846;25
855qg;3,846153846;25
a9522;3,846153846;25
b6enk;3,846153846;75
cpazv;3,846153846;125
culx3;3,846153846;25
fwc0j;3,846153846;25
gjxcp;3,846153846;25
gwqho;3,846153846;25
h89e5;3,846153846;50
hfaf6;3,846153846;50
i0wvq;3,846153846;25
ixxen;3,846153846;25
jqxkz;3,846153846;25
kwapq;3,846153846;150
lifx3;3,846153846;50
n5se5;3,846153846;75
non98;3,846153846;25
owvr2;3,846153846;50
qamq4;3,846153846;50
sbprv;3,846153846;25
wsemz;3,846153846;25
y0qia;3,846153846;25
75rms;3,80952381;101
bahh0;3,797468354;76
fspa7;3,797468354;76
g0qbl;3,797468354;76
r5md1;3,797468354;76
ctno3;3,787878788;127
0wuwu;3,773584906;51
113vs;3,773584906;51
6vnop;3,773584906;51
74wrj;3,773584906;51
9awrm;3,773584906;102
b1fty;3,773584906;51
d9mxa;3,773584906;51
iv6dr;3,773584906;51
l8ecp;3,773584906;51
nmtih;3,773584906;51
nuv82;3,773584906;51
q1yat;3,773584906;51
qq4th;3,773584906;51
ttpoo;3,773584906;51
abyy1;3,75;77
cv9h6;3,75;77
brw9f;3,738317757;103
ufsq8;3,738317757;103
36rec;3,703703704;52
3q1nt;3,703703704;26
3vv8j;3,703703704;26
4cy0n;3,703703704;26
4mzcc;3,703703704;26
b27al;3,703703704;26
bos09;3,703703704;26
buaje;3,703703704;78
cp8jw;3,703703704;26
d2l3h;3,703703704;26
dvwtj;3,703703704;52
g5obn;3,703703704;26
jbax3;3,703703704;26
l0ta0;3,703703704;26
mxqcd;3,703703704;26
p7015;3,703703704;52
pwqee;3,703703704;26
q3h4x;3,703703704;26
q66i1;3,703703704;26
r14wc;3,703703704;26
t7m8d;3,703703704;156
xuqto;3,703703704;52
37biw;3,658536585;79
fnhgi;3,658536585;79
qu7uw;3,658536585;79
3iajk;3,636363636;53
541aj;3,636363636;106
h651b;3,636363636;106
punn0;3,636363636;53
s6gto;3,636363636;53
s6pbf;3,636363636;53
ytllc;3,636363636;53
c5zl4;3,623188406;399
0wkxz;3,614457831;80
5821a;3,614457831;80
d6ujh;3,614457831;80
w580z;3,614457831;80
2n9gy;3,571428571;54
3da1b;3,571428571;27
3odrn;3,571428571;27
3rh85;3,571428571;27
54c7f;3,571428571;81
5d704;3,571428571;27
5nahm;3,571428571;27
6xnlf;3,571428571;27
6yqsc;3,571428571;27
73moq;3,571428571;27
8j8ad;3,571428571;27
8thl9;3,571428571;54
9id0b;3,571428571;27
bkwrq;3,571428571;27
dbifq;3,571428571;27
ea6w3;3,571428571;27
er2kf;3,571428571;54
hbcko;3,571428571;27
i6dzc;3,571428571;27
ieaho;3,571428571;108
kkrw9;3,571428571;81
m0d4w;3,571428571;54
nqf22;3,571428571;81
ok3xj;3,571428571;27
otvau;3,571428571;27
r4hcx;3,571428571;54
rqnee;3,571428571;54
rwnai;3,571428571;27
sr3q8;3,571428571;54
sxtfh;3,571428571;27
t0u6w;3,571428571;27
tzehk;3,571428571;27
v4osb;3,571428571;54
vw5gk;3,571428571;27
649kt;3,539823009;109
hgiyc;3,539823009;109
bahoa;3,529411765;82
fwle5;3,529411765;82
9n55a;3,50877193;55
9uyzb;3,50877193;55
c8tdr;3,50877193;55
g17ec;3,50877193;55
xifug;3,50877193;55
yw148;3,50877193;55
iqclm;3,5;193
bbnwn;3,488372093;83
jjhtf;3,488372093;83
rpp8q;3,488372093;83
j36b7;3,47826087;222
2yauf;3,448275862;56
3j75n;3,448275862;56
3l16a;3,448275862;28
66ctk;3,448275862;28
74ecy;3,448275862;28
9tsmn;3,448275862;28
9xizn;3,448275862;56
a35j5;3,448275862;28
as7hf;3,448275862;28
bjqlj;3,448275862;84
c06ko;3,448275862;56
c0kqp;3,448275862;28
c95ir;3,448275862;28
ctyjr;3,448275862;84
dlpvo;3,448275862;28
femx8;3,448275862;28
g68w5;3,448275862;28
ialgn;3,448275862;56
j2e4c;3,448275862;28
jcsoz;3,448275862;56
jnn71;3,448275862;28
jom4o;3,448275862;28
k0zyr;3,448275862;84
k6p19;3,448275862;28
lgtp4;3,448275862;84
m4m32;3,448275862;28
n35kq;3,448275862;28
onpcn;3,448275862;28
oo5qt;3,448275862;28
otx7f;3,448275862;56
p70cz;3,448275862;28
rjopf;3,448275862;28
rpvzv;3,448275862;56
uwikz;3,448275862;28
vuvo2;3,448275862;56
wbp36;3,448275862;28
xn0gy;3,448275862;84
y6mm1;3,448275862;28
zugc2;3,448275862;84
ff4ey;3,424657534;141
hqen5;3,424657534;141
hp5k7;3,418803419;113
46fnw;3,409090909;85
xb18h;3,409090909;85
z0z0k;3,409090909;85
22tj0;3,389830508;57
4hznd;3,389830508;57
6jurr;3,389830508;57
7328f;3,389830508;57
75gud;3,389830508;57
77vgt;3,389830508;57
8idho;3,389830508;57
awuec;3,389830508;114
bvrzf;3,389830508;57
cgysx;3,389830508;57
hwxzm;3,389830508;57
jf6ys;3,389830508;57
nzd4z;3,389830508;57
pifdh;3,389830508;57
pymxp;3,389830508;57
qcjoh;3,389830508;57
qdjd1;3,389830508;57
s5lbt;3,389830508;114
vgx0c;3,389830508;57
wwozn;3,389830508;57
xvmfr;3,389830508;57
yb3op;3,389830508;57
p7f2z;3,378378378;143
62423;3,370786517;86
ee7cu;3,370786517;86
mjptr;3,370786517;86
mmbco;3,370786517;86
jt5qz;3,355704698;144
3gc11;3,333333333;29
4spm4;3,333333333;29
5zhva;3,333333333;29
8l7ur;3,333333333;29
8vsnm;3,333333333;29
agu2h;3,333333333;87
anyh9;3,333333333;29
at9ee;3,333333333;29
awbgl;3,333333333;87
baijt;3,333333333;29
bjfkn;3,333333333;29
dm88p;3,333333333;87
gmecp;3,333333333;29
i18la;3,333333333;29
j2bkv;3,333333333;29
j6mv0;3,333333333;29
jjcsa;3,333333333;29
k31j7;3,333333333;58
kha7o;3,333333333;29
kvlcm;3,333333333;29
l59fe;3,333333333;58
qj69w;3,333333333;58
usm62;3,333333333;29
uucii;3,333333333;29
xl1t9;3,333333333;29
xpfs2;3,333333333;58
y9qjm;3,333333333;29
ygwfi;3,333333333;29
kpr7y;3,314917127;175
593ar;3,296703297;176
6ja7z;3,296703297;88
dfvx8;3,296703297;88
rdufp;3,296703297;88
2m231;3,278688525;59
31jvz;3,278688525;59
4ov5m;3,278688525;59
66k2b;3,278688525;59
7tayv;3,278688525;59
akzsb;3,278688525;59
h99ms;3,278688525;118
ieu2v;3,278688525;59
kisrw;3,278688525;59
lvjbh;3,278688525;59
qe9yr;3,278688525;59
r48na;3,278688525;59
r5vvl;3,278688525;59
tzbj9;3,278688525;59
1yirp;3,267973856;148
q7mjd;3,260869565;89
rmrcr;3,260869565;89
1d1vg;3,225806452;30
1me67;3,225806452;30
1q6je;3,225806452;30
2g2yf;3,225806452;30
31ghu;3,225806452;30
357kz;3,225806452;30
3dng5;3,225806452;30
3i2or;3,225806452;30
44uar;3,225806452;30
5106y;3,225806452;30
6mida;3,225806452;30
6uko9;3,225806452;30
7lujd;3,225806452;90
8w266;3,225806452;30
9828r;3,225806452;30
98ftq;3,225806452;30
9yqnk;3,225806452;30
b5fg3;3,225806452;30
byogk;3,225806452;30
c0kee;3,225806452;30
cpy4o;3,225806452;180
df9ko;3,225806452;90
edhsi;3,225806452;30
elg0u;3,225806452;30
g03wr;3,225806452;30
g4spd;3,225806452;30
gdb4t;3,225806452;30
h02x5;3,225806452;30
hher1;3,225806452;30
innmo;3,225806452;30
jmn77;3,225806452;30
jneyn;3,225806452;30
jrk8c;3,225806452;30
jrpag;3,225806452;60
l3gaa;3,225806452;30
m5fio;3,225806452;30
mhvjb;3,225806452;30
ml0e0;3,225806452;60
mwei0;3,225806452;30
na5pf;3,225806452;30
nlo8h;3,225806452;30
ohi56;3,225806452;30
qt883;3,225806452;30
r6mww;3,225806452;30
rq6sy;3,225806452;30
s3010;3,225806452;90
s490s;3,225806452;30
tea06;3,225806452;30
udiw2;3,225806452;30
ujmno;3,225806452;30
vlvxl;3,225806452;60
vng64;3,225806452;30
wdjua;3,225806452;30
xnry4;3,225806452;30
yjo93;3,225806452;30
yqld5;3,225806452;90
zdhfa;3,225806452;30
zia15;3,225806452;30
q3sll;3,205128205;151
5xvdq;3,196347032;212
i69qe;3,191489362;91
z6m26;3,191489362;91
1kwj3;3,174603175;61
1wvv4;3,174603175;61
20hsy;3,174603175;61
5ixab;3,174603175;61
bppw2;3,174603175;61
gif8z;3,174603175;61
j28bz;3,174603175;61
kfevf;3,174603175;61
x7g5u;3,174603175;61
xbyi3;3,174603175;61
rka08;3,149606299;123
l1a99;3,135888502;278
19bod;3,125;31
1l72d;3,125;31
2zb85;3,125;31
3aq9z;3,125;31
4gq0l;3,125;31
5c1an;3,125;31
6ccoa;3,125;93
6r2r6;3,125;31
7lzu7;3,125;62
843sj;3,125;31
9j1y3;3,125;31
9mo3d;3,125;31
asjkb;3,125;62
c0j90;3,125;31
g88l5;3,125;62
gi6wc;3,125;31
h6pkl;3,125;155
h8mtt;3,125;62
i0w4e;3,125;31
j16wc;3,125;31
jpwiy;3,125;62
kbf5z;3,125;31
khzqi;3,125;31
liv8u;3,125;31
lkw5n;3,125;31
npip2;3,125;31
ociwg;3,125;31
tzk1w;3,125;31
urwjv;3,125;31
vha9c;3,125;31
wrb3v;3,125;31
wyohj;3,125;31
wzt1y;3,125;62
x0lqy;3,125;217
xl24z;3,125;31
y5q5u;3,125;31
yt3r5;3,125;31
zg39i;3,125;31
xbdi5;3,111111111;436
bz4gv;3,105590062;156
02qrp;3,092783505;94
b1sia;3,092783505;94
johns;3,092783505;94
mi7dc;3,092783505;94
0k4ul;3,076923077;63
2rmv6;3,076923077;63
5fpds;3,076923077;63
a9tlu;3,076923077;63
drt1x;3,076923077;63
dzpsz;3,076923077;63
e34ms;3,076923077;63
kfg1y;3,076923077;63
kldx5;3,076923077;63
nu2na;3,076923077;63
pyafn;3,076923077;63
z5r5b;3,076923077;126
oyjn0;3,06122449;95
07o52;3,03030303;32
0nr91;3,03030303;64
1oci4;3,03030303;32
20nk1;3,03030303;32
2w0il;3,03030303;32
3jj09;3,03030303;32
3n1bz;3,03030303;64
5mvee;3,03030303;32
73fb2;3,03030303;64
78khd;3,03030303;32
7kpdk;3,03030303;32
83sg4;3,03030303;64
87nhf;3,03030303;32
89mp5;3,03030303;64
8tfgp;3,03030303;224
98q6v;3,03030303;32
b6z1a;3,03030303;64
f2ygw;3,03030303;64
f91ur;3,03030303;64
gmelw;3,03030303;32
hm3fz;3,03030303;64
jubx3;3,03030303;32
jzwmm;3,03030303;64
koxa6;3,03030303;32
ldvya;3,03030303;32
mvw0c;3,03030303;64
n0ds0;3,03030303;96
nu74o;3,03030303;32
plw1q;3,03030303;32
